cwnd:vector Network_three_routers.client.tcp.conn-14 (#0 - WS_enabled-0-20200805-20:00:33-23494),,cwnd:vector Network_three_routers.other_client.tcp.conn-15 (#0 - WS_enabled-0-20200805-20:00:33-23494),
1.099086742764,75801,2.430745942764,38334
1.099326582764,75828,2.430865862764,38388
1.099566422764,75855,2.430985782764,38442
1.099806262764,75882,2.431105702764,38496
1.100046102764,75909,2.431225622764,38550
1.100285942764,75936,2.431345542764,38604
1.100525782764,75963,2.431465462764,38658
1.100765622764,75990,2.431585382764,38712
1.101005462764,76017,2.431705302764,38766
1.101245302764,76044,2.431825222764,38820
1.101485142764,76071,2.431945142764,38874
1.101724982764,76098,2.432065062764,38928
1.101964822764,76125,2.432184982764,38982
1.102204662764,76152,2.432304902764,39036
1.102444502764,76179,2.432424822764,39090
1.102684342764,76206,2.432544742764,39143
1.102804262764,76233,2.432664662764,39196
1.103044102764,76260,2.432784582764,39249
1.103283942764,76287,2.432904502764,39302
1.103523782764,76314,2.433024422764,39355
1.103763622764,76341,2.433144342764,39408
1.104003462764,76368,2.433264262764,39461
1.104243302764,76395,2.433384182764,39514
1.104483142764,76422,2.433504102764,39567
1.104722982764,76449,2.433624022764,39620
1.104962822764,76476,2.433743942764,39673
1.105202662764,76503,2.433863862764,39726
1.105442502764,76530,2.433983782764,39779
1.105682342764,76557,2.434103702764,39832
1.105922182764,76584,2.434223622764,39884
1.106162022764,76611,2.434343542764,39936
1.106401862764,76638,2.434463462764,39988
1.106641702764,76665,2.434583382764,40040
1.106881542764,76692,2.434703302764,40092
1.107121382764,76719,2.434823222764,40144
1.107361222764,76746,2.434943142764,40196
1.107601062764,76773,2.435063062764,40248
1.107840902764,76800,2.435182982764,40300
1.108080742764,76827,2.435302902764,40352
1.108320582764,76854,2.435422822764,40404
1.108560422764,76881,2.435542742764,40456
1.108680342764,76908,2.435662662764,40508
1.108800262764,76935,2.435782582764,40560
1.108920182764,76962,2.435902502764,40611
1.109040102764,76989,2.436022422764,40662
1.109399862764,42850,2.436142342764,40713
1.109519782764,44302,2.436262262764,40764
1.109639702764,45754,2.436382182764,40815
1.109759622764,47206,2.436502102764,40866
1.109879542764,48658,2.436622022764,40917
1.109999462764,50110,2.436741942764,40968
1.110119382764,51562,2.436861862764,41019
1.110239302764,53014,2.436981782764,41070
1.110359222764,54466,2.437101702764,41121
1.110479142764,55918,2.437221622764,41172
1.110599062764,57370,2.437341542764,41223
1.110718982764,58822,2.437461462764,41274
1.110838902764,60274,2.437581382764,41325
1.110958822764,61726,2.437701302764,41376
1.111078742764,63178,2.437821222764,41426
1.111198662764,64630,2.437941142764,41476
1.111318582764,66082,2.438061062764,41526
1.111438502764,67534,2.438180982764,41576
1.111558422764,68986,2.438300902764,41626
1.111678342764,70438,2.438420822764,41676
1.111798262764,71890,2.438540742764,41726
1.111918182764,73342,2.438660662764,41776
1.112038102764,74794,2.438780582764,41826
1.112158022764,76246,2.438900502764,41876
1.112277942764,77698,2.439020422764,41926
1.112397862764,79150,2.439140342764,41976
1.112517782764,80602,2.439260262764,42026
1.112637702764,82054,2.439380182764,42076
1.112757622764,83506,2.439500102764,42126
1.112877542764,84958,2.439620022764,42176
1.112997462764,86410,2.439739942764,42225
1.113117382764,87862,2.439859862764,42274
1.113237302764,89314,2.439979782764,42323
1.113357222764,90766,2.440099702764,42372
1.113477142764,92218,2.440219622764,42421
1.113597062764,93670,2.440339542764,42470
1.113716982764,95122,2.440459462764,42519
1.113836902764,96574,2.440579382764,42568
1.113956822764,98026,2.440699302764,42617
1.114076742764,99478,2.440819222764,42666
1.114196662764,100930,2.440939142764,42715
1.114316582764,102382,2.441059062764,42764
1.114436502764,103834,2.441178982764,42813
1.114556422764,105286,2.441298902764,42862
1.114676342764,106738,2.441418822764,42911
1.114796262764,108190,2.441538742764,42960
1.114916182764,109642,2.441658662764,43009
1.115036102764,111094,2.441778582764,43058
1.115156022764,112546,2.441898502764,43106
1.115275942764,113998,2.442018422764,43154
1.115395862764,38494,2.442138342764,43202
1.115458982764,38548,2.442258262764,43250
1.115578902764,38602,2.442378182764,43298
1.115698822764,38656,2.442498102764,43346
1.115818742764,38710,2.442618022764,43394
1.115938662764,38764,2.442737942764,43442
1.116058582764,38818,2.442857862764,43490
1.116178502764,38872,2.442977782764,43538
1.116298422764,38926,2.443097702764,43586
1.116418342764,38980,2.443217622764,43634
1.116538262764,39034,2.443337542764,43682
1.116658182764,39088,2.443457462764,43730
1.116778102764,39141,2.443577382764,43778
1.116898022764,39194,2.443697302764,43826
1.117017942764,39247,2.443817222764,43874
1.117137862764,39300,2.443937142764,43922
1.117257782764,39353,2.444057062764,43970
1.117377702764,39406,2.444176982764,44017
1.117497622764,39459,2.444296902764,44064
1.117617542764,39512,2.444416822764,44111
1.117737462764,39565,2.444536742764,44158
1.117857382764,39618,2.444656662764,44205
1.117977302764,39671,2.444776582764,44252
1.118097222764,39724,2.444896502764,44299
1.118217142764,39777,2.445016422764,44346
1.118337062764,39830,2.445136342764,44393
1.118456982764,39882,2.445256262764,44440
1.118576902764,39934,2.445376182764,44487
1.118644342764,39986,2.445496102764,44534
1.118764262764,40038,2.445616022764,44581
1.118884182764,40090,2.445735942764,44628
1.119004102764,40142,2.445855862764,44675
1.119124022764,40194,2.445975782764,44722
1.119243942764,40246,2.446095702764,44769
1.119363862764,40298,2.446215622764,44816
1.119483782764,40350,2.446335542764,44863
1.119603702764,40402,2.446455462764,44909
1.119723622764,40454,2.446575382764,44955
1.119843542764,40506,2.446695302764,45001
1.119963462764,40558,2.446815222764,45047
1.120083382764,40609,2.446935142764,45093
1.120203302764,40660,2.447055062764,45139
1.120323222764,40711,2.447174982764,45185
1.120443142764,40762,2.447294902764,45231
1.120563062764,40813,2.447414822764,45277
1.120682982764,40864,2.447534742764,45323
1.120802902764,40915,2.447654662764,45369
1.120922822764,40966,2.447774582764,45415
1.121042742764,41017,2.447894502764,45461
1.121162662764,41068,2.448014422764,45507
1.121282582764,41119,2.448134342764,45553
1.121402502764,41170,2.448254262764,45599
1.121522422764,41221,2.448374182764,45645
1.121642342764,41272,2.448494102764,45691
1.121762262764,41323,2.448614022764,45737
1.121882182764,41374,2.448733942764,45783
1.122002102764,41424,2.448853862764,45829
1.122122022764,41474,2.448973782764,45875
1.122241942764,41524,2.449093702764,45920
1.122361862764,41574,2.449213622764,45965
1.122481782764,41624,2.449333542764,46010
1.122601702764,41674,2.449453462764,46055
1.122721622764,41724,2.449573382764,46100
1.122841542764,41774,2.449693302764,46145
1.122961462764,41824,2.449813222764,46190
1.123081382764,41874,2.449933142764,46235
1.123201302764,41924,2.450053062764,46280
1.123321222764,41974,2.450172982764,46325
1.123441142764,42024,2.450292902764,46370
1.123561062764,42074,2.450412822764,46415
1.123680982764,42124,2.450532742764,46460
1.123800902764,42174,2.450652662764,46505
1.123920822764,42223,2.450772582764,46550
1.124040742764,42272,2.450892502764,46595
1.124160662764,42321,2.451012422764,46640
1.124280582764,42370,2.451132342764,46685
1.124400502764,42419,2.451252262764,46730
1.124520422764,42468,2.451372182764,46775
1.124640342764,42517,2.451492102764,46820
1.124760262764,42566,2.451612022764,46865
1.124880182764,42615,2.451731942764,46909
1.125000102764,42664,2.451851862764,46953
1.125120022764,42713,2.451971782764,46997
1.125239942764,42762,2.452091702764,47041
1.125359862764,42811,2.452211622764,47085
1.125479782764,42860,2.452331542764,47129
1.125599702764,42909,2.452451462764,47173
1.125719622764,42958,2.452571382764,47217
1.125839542764,43007,2.452691302764,47261
1.125959462764,43056,2.452811222764,47305
1.126079382764,43104,2.452931142764,47349
1.126199302764,43152,2.453051062764,47393
1.126319222764,43200,2.453170982764,47437
1.126439142764,43248,2.453290902764,47481
1.126559062764,43296,2.453410822764,47525
1.126678982764,43344,2.453530742764,47569
1.126798902764,43392,2.453650662764,47613
1.126918822764,43440,2.453770582764,47657
1.127038742764,43488,2.453890502764,47701
1.127158662764,43536,2.454010422764,47745
1.127278582764,43584,2.454130342764,47789
1.127398502764,43632,2.454250262764,47833
1.127518422764,43680,2.454370182764,47877
1.127638342764,43728,2.454490102764,47921
1.127758262764,43776,2.454610022764,47964
1.127878182764,43824,2.454729942764,48007
1.127998102764,43872,2.454849862764,48050
1.128118022764,43920,2.454969782764,48093
1.128237942764,43968,2.455089702764,48136
1.128357862764,44015,2.455209622764,48179
1.128477782764,44062,2.455329542764,48222
1.128597702764,44109,2.455449462764,48265
1.128717622764,44156,2.455569382764,48308
1.128837542764,44203,2.455689302764,48351
1.128957462764,44250,2.455809222764,48394
1.129077382764,44297,2.455929142764,48437
1.129197302764,44344,2.456049062764,48480
1.129317222764,44391,2.456168982764,48523
1.129437142764,44438,2.456288902764,48566
1.129557062764,44485,2.456408822764,48609
1.129676982764,44532,2.456528742764,48652
1.129796902764,44579,2.456648662764,48695
1.129916822764,44626,2.456768582764,48738
1.130036742764,44673,2.456888502764,48781
1.130156662764,44720,2.457008422764,48824
1.130276582764,44767,2.457128342764,48867
1.130396502764,44814,2.457248262764,48910
1.130516422764,44861,2.457368182764,48953
1.130636342764,44907,2.457488102764,48996
1.130756262764,44953,2.457608022764,49039
1.130876182764,44999,2.457727942764,49081
1.130996102764,45045,2.457847862764,49123
1.131116022764,45091,2.457967782764,49165
1.131235942764,45137,2.458087702764,49207
1.131355862764,45183,2.458207622764,49249
1.131475782764,45229,2.458327542764,49291
1.131595702764,45275,2.458447462764,49333
1.131715622764,45321,2.458567382764,49375
1.131835542764,45367,2.458687302764,49417
1.131955462764,45413,2.458807222764,49459
1.132075382764,45459,2.458927142764,49501
1.132195302764,45505,2.459047062764,49543
1.132315222764,45551,2.459166982764,49585
1.132435142764,45597,2.459286902764,49627
1.132555062764,45643,2.459406822764,49669
1.132674982764,45689,2.459526742764,49711
1.132794902764,45735,2.459646662764,49753
1.132914822764,45781,2.459766582764,49795
1.133034742764,45827,2.459886502764,49837
1.133154662764,45873,2.460006422764,49879
1.133274582764,45918,2.460126342764,49921
1.133394502764,45963,2.460246262764,49963
1.133514422764,46008,2.460366182764,50005
1.133634342764,46053,2.460486102764,50047
1.133754262764,46098,2.460606022764,50089
1.133874182764,46143,2.460725942764,50131
1.133994102764,46188,2.460845862764,50173
1.134114022764,46233,2.460965782764,50215
1.134233942764,46278,2.461085702764,50256
1.134353862764,46323,2.461205622764,50297
1.134473782764,46368,2.461325542764,50338
1.134593702764,46413,2.461445462764,50379
1.134713622764,46458,2.461565382764,50420
1.134833542764,46503,2.461685302764,50461
1.134953462764,46548,2.461805222764,50502
1.135073382764,46593,2.461925142764,50543
1.135193302764,46638,2.462045062764,50584
1.135313222764,46683,2.462164982764,50625
1.135433142764,46728,2.462284902764,50666
1.135553062764,46773,2.462404822764,50707
1.135672982764,46818,2.462524742764,50748
1.135792902764,46863,2.462644662764,50789
1.135912822764,46907,2.462764582764,50830
1.136032742764,46951,2.462884502764,50871
1.136152662764,46995,2.463004422764,50912
1.136272582764,47039,2.463124342764,50953
1.136392502764,47083,2.463244262764,50994
1.136512422764,47127,2.463364182764,51035
1.136632342764,47171,2.463484102764,51076
1.136752262764,47215,2.463604022764,51117
1.136872182764,47259,2.463723942764,51158
1.136992102764,47303,2.463843862764,51199
1.137112022764,47347,2.463963782764,51240
1.137231942764,47391,2.464083702764,51281
1.137351862764,47435,2.464203622764,51322
1.137471782764,47479,2.464323542764,51363
1.137591702764,47523,2.464443462764,51404
1.137711622764,47567,2.464563382764,51445
1.137831542764,47611,2.464683302764,51485
1.137951462764,47655,2.464803222764,51525
1.138071382764,47699,2.464923142764,51565
1.138191302764,47743,2.465043062764,51605
1.138311222764,47787,2.465162982764,51645
1.138431142764,47831,2.465282902764,51685
1.138551062764,47875,2.465402822764,51725
1.138670982764,47919,2.465522742764,51765
1.138790902764,47962,2.465642662764,51805
1.138910822764,48005,2.465762582764,51845
1.139030742764,48048,2.465882502764,51885
1.139150662764,48091,2.466002422764,51925
1.139270582764,48134,2.466122342764,51965
1.139390502764,48177,2.466242262764,52005
1.139510422764,48220,2.466362182764,52045
1.139630342764,48263,2.466482102764,52085
1.139750262764,48306,2.466602022764,52125
1.139870182764,48349,2.466721942764,52165
1.139990102764,48392,2.466841862764,52205
1.140110022764,48435,2.466961782764,52245
1.140229942764,48478,2.467081702764,52285
1.140349862764,48521,2.467201622764,52325
1.140469782764,48564,2.467321542764,52365
1.140589702764,48607,2.467441462764,52405
1.140709622764,48650,2.467561382764,52445
1.140829542764,48693,2.467681302764,52485
1.140949462764,48736,2.467801222764,52525
1.141069382764,48779,2.467921142764,52565
1.141189302764,48822,2.468041062764,52605
1.141309222764,48865,2.468160982764,52645
1.141429142764,48908,2.468280902764,52685
1.141549062764,48951,2.468400822764,52725
1.141668982764,48994,2.468520742764,52764
1.141788902764,49037,2.468640662764,52803
1.141908822764,49079,2.468760582764,52842
1.142028742764,49121,2.468880502764,52881
1.142148662764,49163,2.469000422764,52920
